No.,Tweet,Label,Words,Notes,Contributor
412,Watch @thefitbakermom's broadcast: Farmers Market #Perigirls #Scopetober #Affirmations https://t.co/xWZTKokOBL,NR,,,
413,We had a great time at the farmers market. Storytime and the Friends of the Library book sale were a hit. @lgfarmersmarket @LaGrangeBiz https://t.co/yY5FBp9oyj,environment,"great, time, hit, sale",,
414,Fun at the Farmers Market! https://t.co/LF2H0Q3JJj,environment,fun,,
415,"Fresh fruits and vegetables are yours for the asking. The Downtown Hyde Park Farmers Market every Thursday 7:00am - 1:00pm
#downtownhydepark #hpcc",quality,fresh,Business,
416,I have to wait two days for the farmers market and I don’t have potatoes and I’m running out of fruit. 😬😅😭,convenience,wait,,
417,Legal Fight Continues for Farmer Banned from Market Over Objecting to Gay Weddings at His Orchard  https://t.co/5i5MnKMNg8,NR,,,
418,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",NR,,Business,
419,"Where are we this Wednesday?  Visiting the Belleville Old Town Farmers' Market!  It is open on Saturdays from 7:30 am to noon, from May through November 3, on the first block of South Charles, next to 324 East... https://t.co/Lem9tdCYBk",NR,,Business,
420,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",NR,,Business,
421,"SNAP Pop Up Farmers Market in Midtown Neighborhood, Rockford on Tuesday.  Will accept LINK and cash. #SNAP@farmersmarket #farmersmarketweek https://t.co/BVgkNiUvCt",economics,cash,,
422,"Noticing more millennials at farmers markets, this Elkville farmer wrote an intro to veggies https://t.co/svT1yYNjdY",environment,millenials,,
423,It’s Halloween Downtown! Come stop by for Trunk-or-Treat at the Kankakee Depot and Bingo at the Kankakee Farmers' Market. https://t.co/duyKkHeeXA,NR,,Business,
424,"When I go to a farmers market I get the following: veggies, fruits, homemade salsa, and doggie treats. You can't forget the doggie treats. #ilovemydog",NR,,,
425,Tens of Thousands of People Are About to Lose the Ability to Buy Fresh Food at Farmers Markets https://t.co/varsYYU7Mx via @ModFarm,economics,lose,,
426,Farmers Markets are back in Chicago. Photos of the good stuff in Hyde Park.,quality,good,,
427,"Summer is here, and so is Farmers’ Market season! One of the perks of living in @LakeCountyIL is the incredible access to local vendors. Find your #FarmersMarket here: 
https://t.co/pOMBUNmdG0 https://t.co/8esZXbnRzb",NR,,Business,
428,Andersonville Farmers Market - Week 23- Last market of the season! - https://t.co/UKWjwaVm7j https://t.co/USIUzqnzKB,NR,,Business,
429,The Pekin Farmers Market is looking for volunteers! Interested? Visit our website --> https://t.co/Nyb6ZgD0Ec,NR,,Business,
430,Today’s farmers market find ✨🌿 @ Evanston… https://t.co/hk2JWPpLJR,environment,find,,
431,CELEBRATE A TRUE FALL HARVEST & RAVINIA FARMERS MARKET 40th YEAR https://t.co/4QROnKM3Qq,NR,,,
432,Stop by the Lake Zurich farmers market today from 3-7 pm and visit these precious animals!  The market is located in the park near the corners of Route 22 and Route 12.,NR,,Business,
433,Berries & Flour Bakery and Harvest Goods' whimsical treats stand out at @LandConnection's Champaign Farmers' Market: https://t.co/OuGTtAq8DQ https://t.co/qY17vUuqw8,NR,,,
434,#HealthTip: Frequent your local farmers market to get healthier fruits and veggies. https://t.co/SvlMt2vQxK https://t.co/1Va2I6H83g,quality,healthier,,
435,Farmers Market is today! https://t.co/YxLrEvSPgZ.  ☀️ #SummerIsHere #Libertyville https://t.co/w5Frx1PsRf,NR,,,
436,Watch what happened at 23:11 in Calvin Thomas's broadcast: Capitol riverfront farmers market!!!!#golive #Music https://t.co/HIcb1V4KfZ,NR,,,
437,4 Questions You Should Never Ask at Farmers Market - News from Sauganash Wellness Center https://t.co/FXGORnrsAa,NR,,,
438,"Going to be an awesome event with @TheFrenchChef and more @  Logan Square #farmersmarket on May 20th, 2018   https://t.co/mciiHp7sAv https://t.co/1Co4eBDRcg",environment,"awesome, event",,
439,Tune in to @whms975 this morning around 8:20 for Champaign Farmers Market updates from Sarah! Bring the kids out for Market Seedlings this afternoon! https://t.co/OXq2hloZWb @cg_food_coop @ChampaignPubLib @willpublicmedia @BrainyEscapes  @DragonFirePizza https://t.co/Wo1WvYS805,NR,,Business,
440,That’s #Twain restaurant Chef Tim Graham making some hand churned raspberry #icecream at @GreenCityMarket! #samples #saturday #farmersmarket #lincolnpark https://t.co/DpbCPLcJrr,quality,hand churned,,
441,"What a Beautiful Day!  Don't stay inside.  Join us at The Boulevard Farmers Market today.  Many vendors with natural healthy food to stock your kitchen.  Sunday, June 3rd from 10 a.m. to 2 p.m.  Check out the details:  https://t.co/yxepx8EEHw  #BoulevardFM https://t.co/h4rrbTknyI",quality,"natural, healthy",,
442,Scovill Creek Farm Grass Fed Beef Old State Capitol Farmers Market  https://t.co/xzgZPiUWIF,NR,,,
443,"If you want to get more out of your local farmers market, you must take this class. You'll tour the @LSRCC_Chicago #farmersmarket with our chef, talking to farmers and enjoy an impromptu cooking class after featuring the bounty of the market. Sign up now: https://t.co/ZvDYf8iWVI https://t.co/n0tpzR442M",NR,,,
444,"While many people are at Lolla this weekend, I’m just over here at a petting zoo 🤷🏼‍♀️😩 We hit up the farmers market and petting zoo and ended with brunch. Topped it off with 1.5 hour nap.… https://t.co/Xw5kVIGE95",NR,,,
445,"Stop by Fresh Beats & Eats Farmers Market this Friday from 2-6 pm! In addition to your favorite regular vendors, we're teaching food preservation tips on drying and canning your favorite fruits and veggies. Tino's Latin Jazz Swing Factor will rock the stage. #FightBackWithFood https://t.co/skoio708K9",NR,,,
446,"What did you miss this weekend? Our Chamber Orchestra, Choraliers, and Jazz Band performed on a gorgeous sunny day at the Deerfield Farmers Market! #DHSWarriorPride https://t.co/6tesF2VJ1F",environment,"Jazz, Band, Orchestra, Choraliers, performed, gorgeous, sunny",,
447,Great tips from #SummitOnQualityHillApartments on making the most of the farmers marketing. #apartments #apartmentliving #apartmentlife #jvmliving #petfriendly #poolside #downtownkansascity #apartmentdog https://t.co/umAq7PjeeH,NR,,,
448,"Stroll home from the Wicker Park Farmers Market along the tree-lined streets to 2010 W. Pierce. Explore our spacious 2 bedrooms today!
https://t.co/pnn9Meviqx",NR,,,
449,"Stop by the La Grange Farmers Market Thursday between 9am and noon for fun give aways, enter our raffle & have your little try our obstacle course! 🤸🏻‍♂️🌟💪",NR,,,
450,"September 23rd, Chef Emilio will be creating and cooking a Farm to Table dinner at the Compassion Art Gallery.  Local farmers who participate in the Brookfield Farmers Market are donating… https://t.co/QnsyyzDa76",NR,,,
451,"save the bees🐝 bees are currently endangered & pollinate plant species that feed 90% of the 🌎

TO HELP:

•plant bee friendly gardens

•when theyre near you dont swat them away or panic, stay calm

•buy local honey & support local beekeepers. go to your local farmers market",NR,,,
452,*walks through farmers market at local park* wow this is just like a Stardew Valley festival,environment,"festival, wow, walked",,
453,.@anmtg Chicago's Farmers Market Guide #ShopLocal #ChicagoLoans #Mortgage #Refi #Summer https://t.co/QwX7JrZ4tu https://t.co/zlDYICWlzA,NR,,,
454,Farmers markets guide: Your complete Chicago and suburban listings https://t.co/5d79Pq1bRZ,NR,,,
455,Andersonville Farmers Market - Week 21 - https://t.co/5TcSWT7FH9 https://t.co/pvAJ1KnGw9,NR,,,
456,THIS Sunday Apr 29 is the last INDOOR #farmersmarket before we take the party outside for the season! check out @JeffParkMarket for more details. meanwhile tell us what flavors you'd like us to bring?! https://t.co/xdvmGQYFeN,environment,"indoor, outside",,
457,Come out and see Nathan Taylor playing music during this weeks Farmers Market😃,environment,"playing, music",,
458,"Find #Engage109 Board Members, Supt @mcconnellaw & Coord. of Comm. @cateked at the Deerfield Farmers Market this Saturday (7/21) from 8:30-11:30am. See you there! https://t.co/4jGBAqf4CW",NR,,Business,
459,Want to hit up a farmers market this weekend? Here’s a look at some of what you’ll find at neighborhood farm stands:  https://t.co/819XfsU74J,NR,,Business,
460,TFW you learn that your school's urban garden is open for harvest and there's a bag with your name on on it! #urbanagriculture #thecreativeimpostor #farmersmarket #chicagopublicschools… https://t.co/MSnMxSRsDC,convenience,,,
461,"Notification: Cape Farmers' Market @ Thu Apr 26, 2018 12pm - 5pm (CDT) (capegirardeaucalendar@gmail.com) CST/GMT #SEMO https://t.co/xDTo10UpZm",NR,,Business,
462,"I will be opening the Farmers Market this Thursday, 
5-7, at the Illinois Fairgrounds at the Lincoln stage. 
@EdClarkPiano https://t.co/7ku61VU20s",NR,,Business,
463,Come out and see us tomorrow at the Halloween Farmers Market! We will be on the east side of 4th Street in costume and giving out tons of free books. 🤡👻👽🎃#Halloween #lolbookshare #freebooks,NR,,Business,
464,"@MichaelSpathITH Look at you, hanging out at farmers markets. #Newlywed",NR,,,
465,2018 Grayslake Farmers Market: https://t.co/ezPtdqYwLV via @YouTube,NR,,Business,
466,"Harvest season is in full swing at the #OakPark Farmers' Market. Plums, nectarines, peaches, pears, grapes, apples and cider are just some of the seasonal favorites now available. This week the Market will feature an activity for kids. More info is at https://t.co/rMC0NhL447. https://t.co/reLwzUedXi",environment,"activity, favorites, kids",,
467,"While you're out and about at the @MainStreetLvill Farmers Market, stop by to our Lucy Booth for some good beach-read recommendations! ""Lucy"" is in for the morning! https://t.co/pxxhuUg1Tt",NR,,Business,
468,remember when there was a nazi handin out pamplets at the logan square farmers market and i was in the background of the pic https://t.co/bhX4kq4QuV,environment,"nazi, background",,
469,"Join us tomorrow from 4-7 p.m. at the Illinois Products Farmers’ Market! We’ll be out there with SpgfldClinic Dietetics & Nutrition. Get a chance to sample this wks recipe from Lincoln Land Culinary, “Cauliflower Crust pizza with chickpea pepperoni.” #FarmersMarket2018 https://t.co/FJyDIeQ3sC",NR,,,
